id;start_date;end_date;language
1;2021-03-05T16:07:34;2021-03-05T13:57:49;SPANISH
2;2021-03-04T20:57:45;2021-03-05T16:02:10;SPANISH
3;2021-03-05T11:53:04;2021-03-04T22:27:13;FRENCH
4;2021-03-05T03:10:35;2021-03-05T14:42:01;FRENCH
5;2021-03-05T12:40:53;2021-03-05T17:27:52;FRENCH
6;2021-03-05T06:33:14;2021-03-05T18:41:28;FRENCH
7;2021-03-05T08:18:34;2021-03-05T02:09:25;FRENCH
8;2021-03-05T07:14:47;2021-03-05T17:30:55;SPANISH
9;2021-03-05T05:55:56;2021-03-05T02:37:19;SPANISH
10;2021-03-05T14:08:00;2021-03-05T00:42:30;SPANISH
